Arma,Alcance,F,FP,Tipo
Ametralladora pesada,90cm,4,6,Pesada 3
Batería de cohetes,60cm,4,6,"Pesada 1, Área grande"
Bolter de asalto,60cm,4,5,Asalto 2
Bólter pesado,90cm,5,4,Pesada 3
Bólter,60cm,4,5,Fuego rápido
Cañón automático Exterminator,120cm,7,4,"Pesada 4, Acoplado"
Cañón automático Hydra,180cm,7,4,Pesada 2
Cañón automático,120cm,7,4,Pesada 2
Cañón de batalla Vanquisher,180cm,8,2,"Pesada 1, Área grande"
Cañón de fusión pesado,60cm,8,1,"Pesada 1, Fusión, Área"
Cañón de fusión,60cm,8,1,"Pesada 1, Fusión"
Cañón de plasma,90cm,7,2,"Pesada 3, Área"
Cañón de plasma,90cm,7,2,"Pesada 1, Área Sobrecalentamiento"
Cañón Gatling modelo Punisher,60cm,5,-,Pesada 2
Cañón infierno,Plantilla,6,4,Pesada 1
Cañón láser,120cm,9,2,Pesada 1
Cañón Nova Erradicator,90cm,6,4,"Pesada 1, Área grande"
Cañón químico,Plantilla,1,3,"Pesada 1, Envenenado"
Carga de demolición,15cm,8,-,"Asalto 1, Área grande, Un sólo disparo"
Destructor,30cm,5,-,Asalto 3
Escopeta,30cm,3,-,Asalto 2
Lanzagranadas Fragmentación,60cm,3,6,"Asalto 1, Área"
Lanzagranadas Perforante,60cm,6,4,Asalto 1
Lanzallamas pesado,Plantilla,5,4,Asalto 1
Lanzallamas,Plantilla,4,5,Asalto 1
Lanzamisiles Fragmentación,120cm,4,6,"Pesada 1, Área"
Lanzamisiles Penetración,120cm,8,3,Pesada 1
Misiles Hellfury,180cm,4,5,"Pesada 1, Área grande, Un sólo disparo"
Mortero,120cm,4,6,"Pesada 1, Área, Barrera de artillería"
Multilaser,90cm,6,6,Pesada 3
Pistola bolter,30cm,4,5,Pistola
Pistola de plasma,30cm,7,2,"Pistola, Sobrecalentamiento"
Pistola destraspadora,30cm,X,2,"Pistola, Francotirador"
Pistola láser,30cm,3,-,Pistola
Proyectiles de demolición,120cm,10,1,"Pesada 1, Área"
Rifle de francotirador,90cm,X,6,"Pesada 1, Francotirador"
Rifle de fusión,30cm,8,1,"Asalto 1, Fusión"
Rifle de plasma,60cm,7,2,"Fuego rápido, Sobrecalentamiento"
Rifle láser sobrecargado,45cm,3,3,Fuego rápido
Rifle láser,60cm,3,-,Fuego rápido
Cañón de asedio Medusa,90cm,10,2,"Artillería 1, Área grande"
Cañón de asedio Demolisher,60cm,10,2,"Artillería 1, Área grande"
Cañón de batalla,180cm,8,3,"Artillería 1, Área grande"
Cañón estremecedor,90-600cm,9,3,"Barrera de artillería 1, Área grande"
Cohetes Storm Eagle,60-300cm,10,4,"Barrera de artillería D3, Área grande"
Misil Deathstrike,30cm ilimitado,10,1,"Barrera de artillería, Un sólo disparo, Área variable"
Misiles Hellstrike,180cm,8,3,"Artillería 1, Un sólo disparo"
Mortero de asedio Colossus,60-600cm,6,3,"Barrera de artillería 1, Área grande"
Mortero pesado Griffon,30-120cm,6,4,"Barrera de artillería 1, Área grande"
