Nombre,HA,HP,F,R,H,I,A,L,S
Astrópata,3,4,3,3,1,3,1,7,5+
Capitán Al'rahem,4,4,3,3,2,3,2,9,5+
Comandante Chenkov,4,4,3,3,2,3,2,9,4+
Comandante de pelotón,4,4,3,3,1,3,2,8,5+
Comandante de compañía,4,4,3,3,3,3,3,9,5+
Comisario Mayor,5,5,3,3,3,3,3,10,5+
Comisario Yarrick,5,5,3,4,3,3,3,10,4+
Comisario,4,4,3,3,3,3,2,9,5+
Coronel Straken,5,4,6,4,3,3,3,9,3+
Custodio,3,3,3,3,1,3,2,8,5+
Dotación de armas pesadas,3,3,3,3,2,3,2,7,5+
Dotación de armas pesadas veterana,3,4,3,3,2,3,2,7,5+
Guardaespaldas,4,4,3,3,1,3,2,7,5+
Guardia Imperial,3,3,3,3,1,3,1,7,5+
Guardia Marbo,5,5,3,3,2,5,4,7,5+
Jarran Kell,4,4,3,3,2,4,2,8,4+
Legionario Penal,3,3,3,3,1,3,1,8,5+
Lukas Bastonne,4,4,3,3,2,3,2,10,4+
Maestro Artillero,3,4,3,3,1,3,1,7,5+
Mogul Kamir,4,3,3,3,2,3,3,8,5+
Nork Deddog,4,3,5,5,3,3,4,8,4+
Oficial de Flota,3,4,3,3,1,3,1,7,5+
Ogrete Cabezadura,4,3,5,5,3,2,4,7,5+
Ogrete,4,3,5,5,3,2,3,6,5+
Psíquico Autorizado,2,3,2,3,1,3,1,9,5+
Psíquico Primaris,4,4,3,3,2,3,3,9,5+
Ratling,3,2,2,1,4,1,4,1,5+
Recluta,2,2,2,2,1,3,1,5,5+
Rough Rider,3,3,3,3,1,3,1,7,5+
Sacerdote del Ministorum,3,3,3,3,1,3,2,7,5+
Sargento armero Harker,4,4,4,3,1,3,2,8,5+
Sargento de Asalto,3,4,3,3,1,3,2,8,4+
Sargento Rough Rider,3,3,3,3,1,3,2,8,5+
Sargento Veterano,3,3,3,3,1,3,2,8,5+
Sargento,3,3,3,3,1,3,2,8,5+
Servidor,3,3,3,3,1,3,1,8,4+
Soldado de Asalto,3,4,3,3,1,3,1,7,4+
Tecnosacerdote Visioingeniero,3,3,3,3,1,3,1,8,3+
Ursarkar Creed,4,4,3,3,3,3,3,10,4+
Veterano,3,4,3,3,1,3,1,7,5+
Vigilante,3,3,3,3,1,3,2,9,5+
