Nombre,HP,BF,BL,BP
Bane Wolf,3,12,12,10
Basilisk,3,12,10,10
Chimera,3,12,10,10
Colossus,3,12,10,10
Deathstrike,3,12,12,10
Devil Dog,3,12,12,10
Griffon,3,12,10,10
Hellhound,3,12,12,10
Hydra,3,12,10,10
Leman Russ,3,14,13,10
Leman Russ Demolisher,3,14,13,11
Leman Russ Eradicator,3,14,13,10
Leman Russ Executioner,3,14,13,11
Leman Russ Exterminator,3,14,13,10
Leman Russ Punisher,3,14,13,11
Leman Russ Vanquisher,3,14,13,10
Mantícora,3,12,10,10
Medusa,3,12,10,10
Valquiria,3,12,12,10
Vendetta,3,12,12,10
